" The customer doesn't exist in the system anymore"," El cliente ya no existe en el sistema"
" and ","y"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta absoluta o relativa a la raiz de instalación de Magento, ej. var/export)"
"(For US 2-letter state names)","(Para USA, nombres de estados de 2 letras)"
"(If left empty will be auto-generated)","(Si se deja vacío será auto-generado)"
"(Leave empty for first spreadsheet)","(Dejar vacío en la primera hoja)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos serán añadidos/actualizados en esta tienda si la columna 'tienda' está vacía o no se encuentra en el archivo de importación)"
"(Shift-)Click or drag to change value","(Shift-)Haz clic o arrastra el elemento para cambiar su valor"
"(Starting with)","(Empieza con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'No', sólo los campos vinculados serán importados. Al vincularlos, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Tienes que incrementar el valor del parámetro de configuración memory_limit antes de poder cambiar este valor)"
"(\t for tab)","\t para tabulador"
"* - If indexing is in progress, it will be killed and new indexing process will start","Si el proceso de indexación está activo, se parará y reiniciará de nuevo"
"- Click on any of the time parts to increase it","Haz click en cualquier parte para incrementar"
"- Hold mouse button on any of the above buttons for faster selection.","Mantenga el botón del ratón sobre cualquiera de los botones de arriba para acelerar la selección."
"- Use the %s buttons to select month","%s para seleccionar el mes"
"- Use the %s, %s buttons to select year","%s, %s para seleccionar el año"
"- or Shift-click to decrease it","- o Shift-click para disminuir"
"- or click and drag for faster selection.","- o click y arrasta para una selección más rápida"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","--Seleccione--"
"-- Please select a category --","-- Por favor, elija una categoría --"
"--Please Select--","-- Por favor, seleccione --"
"1 Hour","1 Hora"
"12 Hours","12 horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","2 años hasta hoy"
"6 Hours","6 horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Error 404</h1><p>Página no encontrada.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Acceso denegado</h1><p>Acceso denegado.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Una nueva password se ha enviado a tu correo. Por favor, compruebe su dirección de correo electrónico y vuelve a identificarse."
"API Stability","Estabilidad API"
"API Version","Versión API"
"API:","API:"
"About the calendar","Acerca del calendario"
"Access Denied.","Acceso denegado"
"Access Deny","Acceso denegado"
"Account Created in:","Cuenta creada en:"
"Account Created on (%s):","La cuenta se ha creado el (%s):"
"Account Created on:","Cuenta creada el:"
"Account Information","Información de la cuenta"
"Account status","Estado de la cuenta"
"Account successfully saved","La cuenta se ha grabado con éxito"
"Action","Acción"
"Actions","Acciones"
"Actions XML","Acciones XML"
"Active","Activo"
"Add","Añadir"
"Add Contents Path","Ruta para añadir contenidos"
"Add Exception","Añadir excepción"
"Add Field Mapping","Añadir Asignación de campos"
"Add Field with URL:","Añadir campo con la URL:"
"Add Maintainer","Añadir usuario de mantenimiento"
"Add New Image","Añadir Nueva Imagen"
"Add New Profile","Añadir Nuevo perfil"
"Add New Role","Añadir Nuevo Rol"
"Add New Template","Añadir nueva plantilla"
"Add New Urlrewrite","Añadir una nueva reescritura de URL"
"Add New User","Añadir un nuevo usuario"
"Add New osCommerce Profile","Añadir nuevo perfil osCommerce"
"Add PHP Extension dependency","Añadir dependencia extención PHP"
"Add Package dependency","Añadir dependencia de paquete"
"Add Subpackage dependency","Añadir dependencia de subpaquete"
"Add Urlrewrite","Añadir Url Rewrite"
"Add Urlrewrite for a Category","Añadir Url Rewrite por categoria"
"Add Urlrewrite for a Product","Añadir Url Rewrite por producto"
"Add after","Añadir después"
"Add new Role","Añadir Nuevo Rol"
"Add new store view map","Añadir nuevo mapa de la vista de tienda"
"Add new website map","Añadir nuevo mapa del sitio web"
"Address Type:","Tipo de domicilio:"
"Admin","Administrador"
"Advanced Admin Section","Administración avanzada"
"Advanced Profiles","Perfiles avanzados"
"Advanced Section","Sección avanzada"
"Aggregate Order","Orden completa"
"All","Todos"
"All Allowed Countries","Todos los países permitidos"
"All Cache","Toda la cache"
"All Files","Todos los archivos"
"All Store Views","Todas las vistas de tienda"
"All Tags","Todas las etiquetas"
"All Websites","Todos los sitios web"
"All countries","Todos los países"
"All fields","Todos los campos"
"All possible rates were fetched, click on ""Save"" to apply","Se fijaron todas las tasas posibles, click en ""Grabar"" para aplicar los cambios"
"All rates were fetched, click on ""Save"" to apply","Se fijaron todas las tasas. Click en ""Grabar"" para aplicar los cambios"
"All valid rates successfully saved","Todas las tarifas válidas fueron grabadas con éxito"
"Amounts","Importes"
"Any","Cualquiera"
"Any Attribute Set","Cualquier conjunto de atributos"
"Any Group","Cualquier grupo"
"Any Status","Cualquier estado"
"Any Store","Cualquier tienda"
"Any Type","Cualquier tipo"
"Any Visibility","Cualquier visibilidad"
"Api Key","Clave API"
"Api Key Confirmation","Configuración Api Key"
"Archive file name:","Nombre del fichero de Archivos:"
"Are you sure that you want to delete this template?","Está seguro de borrar esta plantilla?"
"Are you sure that you want to strip tags?","Está seguro de desmontar las etiquetas?"
"Are you sure you want to do this?","Está seguro de que quiere hacer esto?"
"Are you sure you wish to INSTALL all selected packages?","Está seguro de INSTALAR todos los paquetes seleccionados?"
"Are you sure you wish to UNINSTALL all selected packages?","Está seguro de DESINSTALAR todos los paquetes seleccionados?"
"Are you sure you wish to UPGRADE all selected packages?","Está seguro de ACTUALIZAR todos los paquetes seleccionados?"
"Area","Área"
"Assigned","Asignado"
"Attribute Set Name:","Nombre del conjunto de atributos:"
"Attribute set successfully saved.","El conjunto de atributos fue grabado con éxito"
"Attribute set was successfully removed.","El conjunto de atributos fue borrado con éxito"
"Attributes","Atributos"
"Available Products","Productos disponibles"
"Available Version","Versión disponible"
"Average Order Amount","Importe promedio de Pedidos"
"Average Orders","Promedio de importe de pedidos"
"Back","Volver atrás"
"Back to Login","Regresar a la página de Acceso"
"Back to local packages","Regresar a los paquetes locales"
"Backup","Copia de seguridad"
"Backup record was deleted","La copia de seguridad fue borrada"
"Backup successfully created","La copia de seguridad fue creada con éxito"
"Backups","Copias de seguridad"
"Base currency","Moneda base"
"Bcc","Cco"
"Bestsellers","Más vendidos"
"Big Image","Imágen grande"
"Billing Address","Dirección de Facturación"
"Billing address","Dirección de facturación"
"Block Information","Información del bloque"
"Both (without and with tax)","Ambos (sin y con impuesto)"
"Browse Available Extensions","Buscar las extensiones disponibles"
"Browse Available Remote Extensions","Buscar las extensiones remotas disponibles"
"Browse Files...","Buscar archivos..."
"Bundle Items","Lista de paquetes"
