" and ","y"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta Absoluta o Relativa a la raíz de instalación de Magento, ej var/export)"
"(For US 2-letter state names)","(Para USA 2-letras de nombre de estados)"
"(If left empty will be auto-generated)","(Si se deja vacío será generado automaticamente)"
"(Leave empty for first spreadsheet)","(Deje vacío para la primera hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Productos deberán ser agregados/actualizados para esta tienda si la columna 'tienda'  está en blanco o vacía en el archivo a importar.)"
"(Shift-)Click or drag to change value","(Shift-)Clic o arrastre para cambiar valor"
"(Starting with)","(Iniciando con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando 'No', solamente campos mapeados deberán ser importados. Cuando mapeando, use 'columna1', 'columna2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Tienes que incrementar el memory_limit en la configuración de PHP antes de cambiar este valor)"
"(\t for tab)","(\t para el tabulador)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","Mantenga presionado el botón del ratón sobre cualquiera de los botones superiores para una selección más rápida."
"- Use the %s buttons to select month","Utiliza los botones %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","Utiliza los botones %s, %s para seleccionar el año"
"- or Shift-click to decrease it","- ó Shift-clik para decrementarlo"
"- or click and drag for faster selection.","- ó click y arrastrar para una selección más rápida"
"API:","API:"
"About the calendar","Acerca del calendario"
"Access Denied.","Acceso Denegado."
"Account Created in:","Cuenta Creada en:"
"Account Created on (%s):","Cuenta Creada sobre (%s):"
"Account Created on:","Cuenta creada el:"
"Action","Acción"
"Actions","Acciones"
"Add","Agregar"
"Add Contents Path","Agregar Ruta de Contenidos"
"Add Field with URL:","Agregar Campo con URL:"
"Add Maintainer","Agregar Mantenedor"
"Add New Role","Agregar Nuevo Rol"
"Add New Template","Agregar Nueva Plantilla"
"Add New User","Agregar Nuevo Usuario"
"Add PHP Extension dependency","Agregar dependencia de Extensión PHP"
"Add Package dependency","Agregar dependencia de Paquete"
"Add Subpackage dependency","Agregar dependencia de Subpaquete"
"Add new store view map","Agregar nuevo mapa a vista de tienda"
"Add new website map","Agregar nuevo mapa a sitio web"
"Address Type:","Tipo de Dirección:"
"All","Todo"
"All Websites","Todos los sitios web"
"All fields","Todos los campos"
"Archive file name:","Nombre de archivo a archivar:"
"Are you sure that you want to delete this template?","¿Está seguro que desea eliminar esta plantilla?"
"Are you sure that you want to strip tags?","Está seguro que desea eliminar todas las etiquetas?"
"Attribute Set Name:","Nombre de conjunto de atributos:"
"Attributes","Atributos"
"Available Products","Productos Disponibles"
"Big Image","Imagen Grande"
"Billing Address","Dirección de Pago"
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CSV / Tab separated","CSV / separado por tabulador"
"Card Verification Number","Número de Verificación de Tarjeta"
"Catalog","Catálogo"
"Channel","Canal"
"Channel:","Canal:"
"Choose Store View","Seleccionar Vista de Tienda"
"Client Session timeout (sec.)","Tiempo de Sesión de Cliente (segundos)"
"Close","Cerrar"
"Comments History","Historial de Comentarios"
"Confirmed email:","Email confirmado:"
"Connect with the Magento Community","Conectar con la Comunidad de Magento"
"Contents","Contenidos"
"Country:","País:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Crear una copia de seguridad"
"Created <strong>%s</strong> items","Items <strong>%s</strong> creados"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Memo History","Historial de Registros de Crédito"
"Credit Memo Totals","Total de Registros de Crédito"
"Current Configuration Scope:","Alcance de Actual Configuración:"
"Current Release Information","Información de la versión actual"
"Custom","Personalizado"
"Customer Group:","Grupo de cliente:"
