"--Select--","--Seleccionar--"
"Add New Option","Añadir nueva opción"
"Add Selection","Añadir selección"
"As low as","Tan bajo como"
"Bundle Items","Paquete de artículos"
"Bundle Product","Paquete de productos"
"Buy %1$s with %2$s discount each","Comprar %1$ s con %2$s de descuento cada uno"
"Checkbox","Casilla de verificación"
"Choose a selection...","Elija una selección ..."
"Close","Cerrar"
"Default","Por defecto"
"Default Qty","Cantidad por defecto"
"Default Title","Título por defecto"
"Drop-down","Lista Desplegable"
"Dynamic","Dinámico"
"Excl. Tax","Excluir impuestos"
"Fixed","Fijo"
"From","Desde"
"From:","Desde:"
"Gift Message","Mensaje de regalo"
"Incl. Tax","Impuestos incluidos"
"Input Type","Tipo de entrada"
"Is Required","Se requiere"
"Message:","Mensage:"
"Multiple Select","Selección múltiple"
"N/A","N/D"
"No options of this product are available.","Ningunas opciones de este producto están disponibles."
"None","Ninguno"
"Percent","Por ciento"
"Percent Discount","Porcentage de descuento"
"Please enter search conditions to view products.","Por favor, introduzca condiciones de búsqueda para ver los productos."
"Please select options for product.","Por favor, seleccione las opciones para el producto."
"Please select products to add","Por favor, seleccione los productos para añadir"
"Please specify product option(s)","Por favor, especifique las opciones del producto"
"Position","Posición"
"Price Range","Rango de precios"
"Price Type","Tipo de precio"
"Price as configured","Precio configurado como"
"Qty:","Cantidad:"
"Radio Buttons","Botones de selección"
"Required options not selected.","Opciones requeridas no seleccionadas."
"Selected required options not available.","Opciones seleccionadas requeridas no disponibles."
"Separately","Por separado"
"Ship Bundle Items","Envio de paquete de artículos"
"Shipment","Envío"
"Store View Title","Título Store View"
"There is no defined renderer for ""%s"" option type","No se ha definido la renderización para el tipo de opción ""% s"""
"This product is also part of bundle(s)","Este producto también es parte del paquete(s)"
"To","De"
"To:","De:"
"Together","Juntos"
"User Defined Qty","Cantidad definida por el usuario"
