"# of Use","# de uso"
"%1$s incl tax.","%1$ incluido taxas."
"%s - %s","%s - %s"
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(copiar datos desde: %s)"
"(Will make search for the query above return results for this search.)","(Se buscará; en los resultados anteriores para que regrese resultados para esta búsqueda.)"
"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor, seleccione --"
"A name is required","Se requiere un nombre"
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","AM"
"Action","Acción"
"Add Attribute","Añadir atributo"
"Add Design Change","Añadir un cambio de diseño"
"Add Group","Añadir un grupo"
"Add Items to Cart","Añadir artículos al carrito"
"Add New","Añadir nuevo"
"Add New Attribute","Añadir un nuevo atributo"
"Add New Attribute Set","Añadir un nuevo conjunto de atributos"
"Add New Group","Añadir un nuevo grupo"
"Add New Images","Añadir nuevas imágenes"
"Add New Option","Añadir nueva opción"
"Add New Row","Añadir nueva fila"
"Add New Search Term","Añadir un nuevo término de búsqueda"
"Add New Set","Añadir un nuevo conjunto"
"Add Option","Añadir una opción"
"Add Product","Añadir un producto"
"Add Product To Websites","Añadir el producto a los Websites"
"Add Root Category","Añadir categoria padre"
"Add Subcategory","Añadir subcategoria"
"Add Tax","Añadir Taxa"
"Add Tier","Añadir Nivel"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir a la lista de comparación"
"Add to My Wishlist","Añadir a mi lista de deseos"
"Add to Wishlist","Añadir a la lista de deseos"
"Additional Information","Información adicional"
"All","Todo"
"All Product Types","Todos los tipos de productos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos los productos seran eliminados. ¿Esta seguro que quiere eliminar-los?"
"Allow HTML-tags on Front-end","Permitir HTML-tags en la parte pública"
"Allowed File Extensions","Permitir extenciones de ficheros"
"Allowed file extensions to upload","Permitir extenciones de ficheros para descargar"
"Amount","Importe"
"Apply To","Aplicar a"
"Apply To Configurable/Grouped Product","Aplicar a productos configurables/agrupados"
"Approved","Aprobado"
"Are you sure you want to delete this category?","Está seguro de borrar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Esta seguro de eliminar todos los productos de su comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro de que quiere eliminar este producto de la lista de comparación?"
"Are you sure?","Está seguro?"
"As low as:","Tan bajo como:"
"Assign","Asignar"
"Assign product link","Asignar producto vínculo"
"Assign product to category","Asignar a la categoría de productos"
"Assigned Products","Asignación de Productos"
"Associated Products","Productos asociados"
"Attrib. Set Name","Nombre del conjunto de atributos"
"Attribute Code","Código del atributo"
"Attribute Information","Información del atributo"
"Attribute Label","Etiqueta del atributo"
"Attribute Model","Modelo del atributo"
"Attribute Name:","Nombre del atributo:"
"Attribute Properties","Propiedades del atributo"
"Attribute Set","Conjunto de atributos"
"Attribute group with the ""/name/"" name already exists","El grupo de atributo ""/ name/"" ya existe"
"Attribute model not defined","El modelo del atributo no está; definido"
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Los nombres de atributos se puede especificar por tienda."
"Autogenerate","Autogenerar"
"Availability","Disponibilidad"
"Availability: In stock.","Disponibilidad: En existencia"
"Availability: Out of stock.","Disponibilidad: No se encuentra en existencia."
"Back","Volver atrás"
