"%s and greater","%s y mayor"
"Advanced Search","Búsqueda Avanzada"
"All","Todo"
"Applies for ""Like"" Search type only","Aplicar para búsqueda de tipo ""Like"" solamente"
"Apply Layered Navigation if search results are less than","Aplicar navegación de capas si la búsqueda de resultados es menor a"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Cambio de configuración de atributo relacionado con Índice de Búsqueda. Por favor ejecuta el proceso <a href=""%s"">Reconstruir Índice de Búsqueda</a>"
"Autogenerated site map","Mapa del sitio autogenerado"
"Catalog Advanced Search","Búsqueda avanzada en el catálogo"
"Catalog Search","Búsqueda del catálago"
"Don't see what you're looking for?","¿No puede encontrar lo que estás buscando?"
"Go","Ir"
"Go to Home Page","Ir a la pagina de inicio"
"Grid","Cuadrícula"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Longitud máxima de la búsqueda"
"Maximum Query Words Count","Cantidad de palabras máximas de búsqueda"
"Maximum Search query  length is %s. Your query was cut.","El máximo de carácteres para la búsqueda son %s. La busqueda ha sido abortada."
"Minimal Query Length","Largo mínimo de búsqueda"
"Modify your search","Modifique su búsqueda"
"No","No"
"No items were found using the following search criteria.","No se han encontrado resultados con esta búsqueda"
"Please enter ""0"" to enable layered navigation for any number of results","Introduce ""0"" para activar cualquier resultado"
"Popular Search Terms","Términos de Búsqueda Populares"
"Popular search terms","Términos de búsqueda populares"
"Relevance","Relevancia"
"Required Fields","Campos requeridos"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Configuraciones de la búsqueda"
"Search Site","Búsqueda en el sitio"
"Search Terms","Búsquedas populares"
"Search Type","Tipo de búsqueda"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Subscribe to Feed","Subscripción al  canal"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"Yes","Si"
"You have to specify at least one search term","Debe especificar al menos un término de búsqueda"
"Your search returns no results.","Su búsqueda no devolvió resultados."
"up to %s","hasta %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d producto(s)</strong> han sido encontrados usando el siguiente criterio de búsqueda"
"Is product available for purchase with Google Checkout","Producto disponible para pagar mediante Google Checkout"
"Advanced Search","Búsqueda avanzada"
"Search Terms","Términos de búsqueda"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
