"* Required Fields","* Campos requeridos"
"A new password was sent","Se envió una nueva contraseña"
"Account Dashboard","Panel de Control"
"Account Information","Información de la cuenta"
"Account Sharing Options","Opciones para compartir la cuenta"
"Account information was successfully saved","La información de la cuenta se grabó con éxito"
"Action","Acción"
"Add New Address","Añadir una nueva dirección"
"Add New Customer","Añadir un nuevo cliente"
"Add New Customer Group","Añadir un nuevo grupo de clientes"
"Added From","Añadido desde"
"Additional Address Entries","Entradas adicionales de domicilio"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Information","Información de la dirección"
"Addresses","Direcciones"
"Admin","Administración"
"All","Todo"
"All Store Views","Todas las vistas de tienda"
"All countries","Todos los países"
"Always optional","Siempre opcional"
"Amount","Importe"
"Approved","Aprobado"
"Are you sure that you want to remove this item?","Seguro que desea quitar este artículo?"
"Are you sure you want to cancel adding of this address?","Seguro que desea cancelar el añadido de esta dirección?"
"Are you sure you want to delete this address?","Seguro que desea borrar esta dirección?"
"Are you sure?","Está seguro?"
"Array of Entity collections is expected","Se esperaba una cadena de colecciones de entidad"
"Assign a customer group","Asignar un grupo de clientes"
"Average Sale","Promedio de ventas"
"Back","Volver atrás"
"Back to Login","Volver al Inicio de sesión"
"Bad request.","Solicitud incorrecta"
"Bill to Name","Nombre de la cuenta"
"Billing Information","Información de la facturación"
"Bought From","Comprado desde"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá realizar el proceso de compra más rápidamente, indicar un envío a múltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho más. "
"CSV","CSV"
"Can't save address","No se puede guardar la dirección"
"Can't save customer","No se puede guardar el cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","No puede compartir las cuentas de los clientes globales. Debido a que algunas cuentas de clientes con los mismos mensajes de correo electrónico existentes en varios sitios web y no se pueden combinar."
"Cancel","Cancelar"
"Change Account Password","Cambiar la contraseña de la cuenta"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar la contraseña de la cuenta"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Compañía"
"Config","Configuración"
"Confirm New Password","Confirmar la nueva contraseña"
"Confirm Password","Confirmar la contraseña"
"Confirmation Link Email","Enlace de correo electrónico de confirmación"
"Confirmed","Confirmado"
"Contact Information","Información de contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear nuevas opciones para las cuentas"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"Create Order","Crear un Pedido"
"Create an Account","Crear cuenta"
"Create customer","Crear cliente"
"Create customer address","Crear dirección cliente"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Addresses","Direcciones del cliente"
"Customer Api","API cliente"
"Customer Configuration","Configuración del cliente"
"Customer Group","Grupo del cliente"
"Customer Group was successfully deleted","El grupo de clientes fue borrado con éxito"
"Customer Group was successfully saved","El grupo de clientes fue guardado con éxito"
"Customer Groups","Grupos de clientes"
"Customer Information","Información del cliente"
"Customer Login","Acceso del cliente"
"Customer Since","Cliente Desde"
"Customer View","Vista de cliente"
"Customer collection expected","Se esperaba colección de Cliente"
"Customer doesn't have primary billing address","El cliente no posee una dirección de facturación principal"
"Customer email already exists","El correo electrónico del cliente ya existe"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Customers Section","Sección"
"DD","DD"
"Date","Fecha"
"Date Added","Fecha añadida"
"Date of Birth","Fecha nacimiento"
"Date of Birth is required.","La fecha de nacimiento es necesario"
"Day","Dia"
"Days in Wishlist","Días en la lista de deseos"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección de facturación por defecto"
"Default Email Domain","Dominio de correo electrónico por defecto"
"Default Group","Grupo por defecto"
"Default Shipping Address","Dirección de envío por defecto"
"Default Welcome Email","Correo de bienvenida por defecto"
"Delete","Borrar"
"Delete Address","Borrar la dirección"
"Delete Customer","Borrar el cliente"
"Delete Customer Group","Borrar el grupo de clientes"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar dirección del cliente"
"Deleted Stores","Tiendas borradas"
"Details","Detalles"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Info","Editar cuenta"
"Edit Account Information","Editar la información de la cuenta"
"Edit Address","Editar la dirección"
"Edit Address Entry","Editar la dirección"
"Edit Customer Group ""%s""","Editar el grupo de clientes ""%s"""
"Edit Customer Groups","Editar los grupos de clientes"
"Edit Customer's Address","Editar las direcciones de los clientes"
"Edit Group","Editar el grupo"
"Edit Newsletter Subscription","Editar la suscripción al boletín de noticias"
"Edit Newsletters","Editar los boletines de noticias"
"Edit Personal Information","Editar la información personal"
"Email","Correo electrónico"
"Email Address","Dirección de correo electrónico"
"Email Sender","Remitente de correo electrónico"
"Entity collection is expected","Se esperaba una colección de Entidad"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"Ext. Price","Precio Ext."
"Failed to confirm customer account.","La confirmación de la cuenta del cliente ha fallado"
"Fax","Fax"
"First Name","Nombre"
"First name can't be empty","Rellene el campo nombre"
"Forgot Email Sender","Remitente para recordatorio de correo electrónico"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Your Password?","¿Olvidó su contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta usted puede ver un resumen de sus actividades recientes y actualizar la información de su cuenta. Seleccione un enlace inferior para ver o editar información."
"General Subscription","Suscripción general"
"Global","Global"
"Go to Address Book","Ir a la libreta de direcciones"
"Grand Total","Importe total"
"Grand Total: %s","Importe total: %s"
"Group","Grupo"
"Group ""%s"" can not be deleted","El grupo ""%s"" no puede ser borrado"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Guest","Invitado"
"HTML","HTML"
"Hello, %s!","Hola, %s!"
"ID","ID"
"IP Address","Dirección  IP"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor acceda con sus datos."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opción de atributo inválida para el atributo  %s (%s), se omite el registro"
"Invalid attribute set specified, skipping the record","Conjunto de atributo inválido, se omite el registro"
"Invalid current password","La contraseña actual es inválida"
"Invalid customer data","Los datos del cliente son inválidos"
"Invalid email address","La dirección de correo electrónico es inválida"
"Invalid email address ""%s""","Correo electrónico ""%s"" erróneo"
"Invalid login or password.","Usuario o password no correctos"
"Invalid option id specified for %s (%s), skipping the record","ID de opción inválida para %s (%s), se omite el registro"
"Invalid store specified, skipping the record","Tienda inválida, se omite el registro"
"Items Order","Pedido de artículos"
"Last 5 Orders","Ultimos 5 Pedidos"
"Last Activity","Ultima actividad"
"Last Name","Apellidos"
"Last Url","Ultima URL"
"Last Viewed Items","Ultimos artículos vistos"
"Last date subscribed","Ultima fecha de suscripción"
"Last date unsubscribed","Ultima fecha de desuscripción"
"Last name can't be empty","Los apellidos no pueden estar vacios"
