"Add New Row","Añadir nueva fila"
"An error occurred while saving the file(s).","Se ha producido un error al guardar el archivo(s)."
"Availability: In stock.","Disponibilidad: En existencia."
"Availability: Out of stock.","Disponibilidad: Fuera de existencia"
"Back","Volver"
"Can't connect to remote host, error: %s","No se puede conectar al servidor remoto, el error: % s"
"Canceled","Cancelado"
"Date","Fecha"
"Default Link Title","Enlace al título por defecto"
"Default Maximum Number of Downloads","Número máximo por defecto de descargas"
"Default Sample Title","Muestra el título por defecto"
"Disable Guest Checkout if cart contains downloadable items","Incapacite la comprobación del invitado si la cesta contiene artículos descargables"
"Downloadable Information","Información descargable"
"Downloadable Product","Producto descargable"
"Downloadable Product Options","Opciones del producto descargable"
"Downloadable product Section","Sección de productos descargables"
"Excl. Tax","Impuestos excluidos"
"File","Archivo"
"File does not exists","El archivo no existe"
"From:","Desde:"
"Gift Message","Mensaje de regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">mis productos descargables</a>"
"Guest checkout will only work with shareable","La comprobación de invitado sólo trabajará con compartible"
"Incl. Tax","Impuestos incluidos"
"Invalid download URL host","No se puede descargar la URL"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Tipo de enlace de descarga no válido"
"Invoiced","Facturado"
"Link has expired.","Vínculo ha caducado."
"Link is not available.","El enlace no está disponible."
"Links can be purchased separately","Los enlaces pueden ser comprados por separado"
"Max. Downloads","Máximas descargas"
"Message:","Mensage:"
"My Downloadable Products","Mis productos descargables"
"Open Links in New Window","Abrir un vínculo en una ventana nueva"
"Order #","Pedido #"
"Order Item Status to enable Downloads","El estado del pedido permite descargas"
"Ordered","Pedido"
"Pending","Pendiente"
"Please log in to download your product.","Por favor inicie la sesión para descargar su producto."
"Please set resource file and link type","Por favor introduzca los recursos de archivo y tipo de vínculo"
"Please specify product link(s).","Por favor, especifique los vínculo(s) del producto"
"Price","Precio"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas restantes"
"Remove item","Eliminar registro"
"Requested link doesn't exist.","El vínculo solicitado no existe"
"Sample","Muestra"
"Shareable","Compartible"
"Shipped","Enviado"
"Sorry, the was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Póngase en contacto con la tienda."
"Sorry, there was an error getting requested content","Lo sentimos, se ha producido un error al obtener el contenido solicitado."
"Sorry, there was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Póngase en contacto con la tienda."
"Sort Order","Pedido pequeño"
"Start Download","Inicio descargar"
"Status","Estatus"
"Title","Título"
"To:","De:"
"U","U"
"Unlimited","Ilimitado"
"View Order","Vista del pedido"
"You have not purchased any downloadable products yet.","Usted no ha comprado ningún producto descargable todavía."
"attachment","Archivo adjunto"
"download","Descargar"
"inline","en linea"
"sample","Muestra"
"My Downloadable Products","Mis productos descargables"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
