"%s Item(s)","%s Artículo(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. Todos los derechos reservados."
"(Shift-)Click or drag to change value","(Shift-) Clicar o arrastrar para cambiar el valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click en cualquier parte para incrementar"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga el botón del ratón sobre cualquiera de los botones de arriba para acelerar la selección."
"- Use the %s buttons to select month","Utiliza %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","-Utiliza %s, %s selecciona el año"
"- or Shift-click to decrease it","- o Shift-click para disminuir"
"- or click and drag for faster selection.","- o  clicar y arrastrar para acelerar la selección."
"About the calendar","Acerca del calendario"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">aquí</a> si no ha pasado nada"
"Close","Cerrar"
"Close Window","Cerrar la ventana"
"DHTML Date/Time Selector","Selector DHTML Fecha/Tiempo"
"Date selection:","Selección  de fecha:"
"Default Description","Descripción por defecto"
"Default welcome msg!","Mensaje por defecto de bienvenida!"
"Display %s first","Mostrar %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido con licencia GNU LGPL. Ver %s para más detalles"
"Drag to move","Arrastrar para mover"
"For latest version visit: %s","La última versión visitada: %s"
"Go Today","Ir hoy"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener saludable a Magento"
"Interface Language","Idioma de la interfase"
"Items %s to %s of %s total","Artículos %s a %s de %s en total"
"Next Page","Página siguiente"
"Next month (hold for menu)","El mes que viene"
"Next year (hold for menu)","El próximo año"
"Page:","Página:"
"Prev. month (hold for menu)","Visualizar mes"
"Prev. year (hold for menu)","Visualizar año"
"Previous Page","Página anterior"
"Redirecting...","Redirigiendo ..."
"Report All Bugs","Informar de todos los errores"
"Select Store","Seleccionar tienda"
"Select date","Seleccionar fecha"
"Show","Mostrar"
"Skip to Footer","Saltar a pie de página"
"Skip to Left Column","Saltar a la columna de la izquierda"
"Skip to Main Content","Ir directamente al contenido principal"
"Skip to Right Column","Saltar a la columna de la derecha"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de esta tienda no será procesado ni atendido."
"Time selection:","Tiempo de selección:"
"Time:","Tiempo:"
"Welcome, %s!","Bienvenido, %s!"
"You're currently on:","Actualmente se encuentra en:"
"Your Language","Idioma"
"Your Language:","Idioma:"
"per page","por página"
"Your Language:","Tu idioma:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Ayudanos a mantener Magento"
"Report All Bugs","Informar de todos los errores"
"Your Language","Tu idioma"
