"%d Review(s)","%d Opinion(es)"
"%s Review(s)","%s Opinion(es)"
"(Posted on %s)","(Realizado el %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Añadir una nueva opinión"
"Add Your Review","Añadir su opinión"
"Administrator","Administrador"
"All Reviews","Todas las opiniones"
"All reviews of customer `%s`","Todos los comentarios de los clientes '%s'"
"Allow guests to write reviews","Permitir a los invitados escribir comentarios"
"Are you sure you want to do this?","¿Seguro que quiere hacer esto?"
"Are you sure?","Está seguro?"
"Average Customer Rating","Promedio de la calificación de los clientes"
"Average Customer Rating:","Promedio de la calificación de los clientes:"
"Back","Volver atrás"
"Back to Main Product Info","Volver a la información del producto principal"
"Back to My Reviews","Volver a Mis opiniones"
"Back to Product Reviews","Volver a las Opiniones del producto"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"Created On","Creado el"
"Customer","Cliente"
"Customer Reviews","Opiniones del cliente"
"Delete","Borrar"
"Delete Review","Borrar la opinión"
"Detailed Rating","Calificación detallada"
"Edit Review '%s'","Editar la opinión '%s'"
"Guest","Invitado"
"How do you rate this product?","¿Cómo califica a este producto?"
"ID","ID"
"Manage Ratings","Gestionar comentarios"
"My Product Reviews","Mis opiniones de productos"
"My Recent Reviews","Mis opiniones recientes"
"Name","Nombre"
"Name In Store","Nombre en la tienda"
"New Review","Nueva opinión"
"Nickname","Apodo"
"Pending Reviews","Opiniones pendientes"
"Pending reviews","Comentarios pendientes"
"Pending reviews of customer `%s`","Comentarios pendientes del cliente '%s'"
"Please select a product","Por favor, seleccione un producto"
"Please select one of each of the ratings above","Por favor, seleccione una de las calficaciones de arriba"
"Posted By","Realizado por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Rating","Calificación del producto"
"Product Rating:","Calificación del producto:"
"Product Review (submitted on %s):","Opinión del producto (enviada el %s):"
"Product Reviews","Opiniones del producto"
"Product SKU","Código del producto"
"Qty","Cantidad"
"Rating:","Calificación:"
"Review","Opinión"
"Review Details","Detalles de la opinión"
"Review by %s","Opinó %s"
"Reviews and Ratings","Comentarios y puntuaciones"
"SKU","CODIGO"
"Save Review","Guardar la opinión"
"Status","Estado"
"Submit Review","Enviar opinión"
"Summary Rating","Calificación sumaria"
"Summary of Review","Resumen de la opinión"
"Summary of Your Review","Resumen de su opinión"
"Summary of review","Resumen de la opinión"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","Imposible enviar la opinión. Por favor, inténtelo más tarde"
"Update status","Actualizar el estado"
"View All Reviews","Ver todas las opiniones"
"View Details","Ver los detalles"
"Visible In","Visible en"
"Websites","Websites"
"Write Your Own Review","Escriba su propia opinión"
"You have submitted no reviews.","Usted no ha enviado opiniones."
"You're reviewing: %s","Usted está opinando sobre: %s"
"Your Rating:","Su calificación:"
"Your Review (submitted on %s):","Su opinión (realizada el %s):"
"Your review has been accepted for moderation","Su opinión ha sido aceptada y transferida para su moderación"
"OR","OR"
"My Product Reviews","Mis revisiones de productos"
