" The customer doesn't exist in the system anymore"," El cliente ya no existe en el sistema"
"""%s"" coupon code is not valid.","El código de cupón ""%s"" no es válido."
"%s / %s rate:","%s / %s ritmo:"
"%s for %s","%s per %s"
"%s order(s) successfully canceled","%s pedidos cancelados con éxito"
"%s order(s) successfully put on hold","%s pedido(s) puesto(s) en suspenso con éxito"
"%s order(s) successfully released from holding status","%s pedido(s) liberados correctamente des del estado ""holding"""
"* - Enter custom price excluding tax","* - Introducir el precio sin impuestos"
"* - Enter custom price including tax","* - Introducir el precio con impuestos"
"About This Order:","Sobre este Pedido:"
"About Your Order","Sobre su Pedido:"
"Account Information","Informacion de la cuenta"
"Action","Acción"
"Actions","Acciones"
"Add","Añadir"
"Add Gift Messsage","Añadir mensaje de regalo"
"Add New Address","Añadir una nueva dirección"
"Add Order Comments","Añadir comentarios al Pedido"
"Add Products","Añadir productos"
"Add Selected Product(s) to Option","Añadir producto seleccionado(s) a la opción"
"Add Selected Product(s) to Order","Añadir producto(s) seleccionado(s) al Pedido"
"Add To Order","Añadir al Pedido"
"Add Tracking Number","Añadir número de seguimiento"
"Add a gift message for <strong>each gift item</strong>","Añadir un mensaje de regalo para <strong>cada artículo de regalo</strong>"
"Add a gift message for the <strong>entire order</strong>","Añadir un mensaje de regalo para el <strong>Pedido completo</strong>"
"Add comment to order","Añadir comentario"
"Add new comment to shipment","Añadir nuevo comentario a envío"
"Add new tracking number","Añadir nuevo número de seguimiento"
"Add to Cart","Añadir al carrito"
"Address","Dirección"
"Adjustment Fee","Ajuste de tarifa"
"Adjustment Fee:","Ajuste de tarifa:"
"Adjustment Refund","Ajuste de reembolso"
"Adjustment Refund:","Ajuste de reembolso:"
"Allow Reorder","Permitir Pedidos repetidos"
"Amount","Importe"
"Append Comments","Anexar comentarios"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar código de cupón"
"Are you sure you want to cancel this order?","¿Está seguro de cancelar este Pedido?"
"Are you sure?","¿Está seguro?"
"Are you sure? This order will be cancelled and a new one will be created instead","¿Está seguro? Este Pedido será cancelado y uno nuevo será creado en su lugar"
"Back to My Orders","Volver a Mis Pedidos"
"Backordered","Productos agotados pedidos"
"Bill to First name","Nombre en la Factura:"
"Bill to Last name","Apellido en la Factura:"
"Bill to Name","Factura a Nombre"
"Billing Address","Dirección de facturación"
"Buy %s for price %s","Comprar %s por el precio %s"
"Can not add order history.","No se puede añadir el historial de pedidos."
"Can not create block ""%s""","No se puede crear el bloque ""%s"""
"Can not do invoice for order.","No puede hacer factura de pedido."
"Can not do shipment for order.","No se puede realizar un Envío para el Pedido."
"Can not register existing creditmemo","No se puede registrar la Factura de abono existente"
"Can not register existing invoice","No se puede registrar la Factura existente"
"Can not register existing shipment","No se puede registrar el Envío existente"
"Can't get order instance","No se puede obtener una instancia del pedido"
"Cancel","Cancelar"
"Cancel invoice","Cancelar la factura"
"Cancel order","Cancelar pedido"
"Canceled","Cancelado"
"Cannot create an empty shipment.","No se puede crear un envio vacío"
"Capture","Capturar"
"Capture Amount","Capturar importe"
"Capture Offline","Capturar fuera de línea"
"Capture Online","Capturar en línea"
"Capture invoice","Captura de factura"
"Carrier","Transporte"
"Change Status","Cambiar el estado"
"Change status, add comments","Cambio de estado, añadir comentarios"
"Checkout totals sort order","Orden de clasificación de los totales de caja"
"Click to change shipping method","Presione para cambiar el método de envío"
"Closed","Cerrado"
"Comment","Comentario"
"Comment Text","Texto del comentario"
"Comments","Comentarios"
"Comments History","Historial de comentarios"
"Complete","Completa"
"Country","País"
"Coupons","Cupones"
"Create","Crear"
"Create New Customer","Crear un nuevo cliente"
"Create New Order","Crear un nuevo Pedido"
"Create New Order for %s","Crear un nuevo Pedido para %s"
"Create New Order for %s in %s","Crear un nuevo Pedido para %s en %s"
"Create New Order for New Customer","Crear un nuevo Pedido para un nuevo cliente"
"Create New Order for New Customer in %s","Crear un nuevo Pedido para un nuevo cliente en %s"
"Create Shipment","Crear Envío"
"Create new invoice for order","Cear una nueva factura"
"Create new shipment for order","Crear un nuevo envio"
"Created At","Creado el"
"Credit Memo","Factura de abono"
"Credit Memo #","Factura de abono #"
