"There have been %s0 comments%s","Houveram %s0 camentario%s"
"There have been %s%s comment(s)%s","Houveram %s%s comentario(s)%s"
"Posted on %s by %s","Postado em %s by %s"
"This post was posted in","Este post foi publicado em"
"Recent Posts","Posts Recentes"
"Posted on %s at %s","Publicado em %s at %s"
"Posts by ‘%s‘","Publicado por ‘%s‘"
"says","says"
"Post your comment","Publique seu comentario"
"Response to %s","Response to %s"
"Comments","Comentarios"
"Name","Nome"
"Email","Email"
"Website","Website"
"Comment","Comentarios"
"Home","Home"

"January","Janeiro"
"February","Fevereiro"
"March","Marco"
"April","Abril"
"May","Maio"
"June","Junho"
"July","Julho"
"August","Agosto"
"September","Setembro"
"October","Outubro"
"November","Novembro"
"December","Dezembro"

"Monday","Segunda"
"Tuesday","Terca"
"Wednesday","Quarta"
"Thursday","Quinta"
"Friday","Sexta"
"Saturday","Sadabo"
"Sunday","Domingo"

"Next","Proximo"
"Previous","Anterior"

"Blog Search","Busca no Blog "
"Go","Ir"
"Search our blog...","Buscando no blog..."
"You must be logged in to post a comment.","Voce precisa estar logado para postar um comentario"
